Title,DOI,Link,Abstract,Author Keywords
"High-frequency financial data modeling using Hawkes processes","10.1016/j.jbankfin.2012.08.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866852044&doi=10.1016%2fj.jbankfin.2012.08.011&partnerID=40&md5=e407467f340b537204be8bdaf97a8d19","Intraday Value-at-Risk (VaR) is one of the risk measures used by market participants involved in high-frequency trading. High-frequency log-returns feature important kurtosis (fat tails) and volatility clustering (extreme log-returns appear in clusters) that VaR models should take into account. We propose a marked point process model for the excesses of the time series over a high threshold that combines Hawkes processes for the exceedances with a generalized Pareto distribution model for the marks (exceedance sizes). The conditional approach features intraday clustering of extremes and is used to calculate instantaneous conditional VaR. The models are backtested on real data and compared to a competitor approach that proposes a nonparametric extension of the classical peaks-over-threshold method. Maximum likelihood estimation is computationally intensive; we use a differential evolution genetic algorithm to find adequate starting values for the optimization process. © 2012 Elsevier B.V.","Hawkes process; High-frequency data; Peaks-over-threshold; Self-exciting process; Value-at-risk"
"The Penn-Lehman Automated Trading Project","10.1109/MIS.2003.1249166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346896327&doi=10.1109%2fMIS.2003.1249166&partnerID=40&md5=bff78ae67d82ef4c1caa5067b423b803","The various aspects of Penn-Lehman Automated Trading (PLAT) project are discussed. The project uses a Penn Exchange Simulator (PXS), to develop algorithms and strategies for automatic stock trading. PXS automatically computes client profit and losses, volumes traded and simulator and external prices. PXS merges limit order data from two sources: actively connected trading clients and limit orders. The simulator runs both in live and historical modes.",
"Keep calm and react with foresight: Strategies for low-latency and energy-efficient elastic data stream processing","10.1145/2851141.2851148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963752273&doi=10.1145%2f2851141.2851148&partnerID=40&md5=6c7a4c315e28cb9a8ba2432b0a428b86","This paper addresses the problem of designing scaling strategies for elastic data stream processing. Elasticity allows applications to rapidly change their configuration on-the-fly (e.g., the amount of used resources) in response to dynamic workload fluctuations. In this work we face this problem by adopting the Model Predictive Control technique, a control-theoretic method aimed at finding the optimal application configuration along a limited prediction hori-zon in the future by solving an online optimization problem. Our control strategies are designed to address latency constraints, using Queueing Theory models, and energy consumption by changing the number of used cores and the CPU frequency through the Dynamic Voltage and Frequency Scaling (DVFS) support available in the modern multicore CPUs. The proactive capabilities, in addition to the latency-and energy-awareness, represent the novel features of our approach. To validate our methodology, we develop a thorough set of experiments on a high-frequency trading application. The re-sults demonstrate the high-degree of flexibility and configurability of our approach, and show the effectiveness of our elastic scaling strategies compared with existing state-of-the-art techniques used in similar scenarios. © 2016 ACM.","Data Stream Processing; DVFS; Elasticity; Model Predictive Control; Multicore Programming"
"Efficient event processing through reconfigurable hardware for algorithmic trading",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958755223&partnerID=40&md5=9f547235274ea551f6ec64eae45a0e5f","In this demo, we present fpga-ToPSS (Toronto Publish/Subscribe System Family), an efficient event processing platform for highfrequency and low-latency algorithmic trading. Our event processing platform is built over reconfigurable hardware-FPGAs-to achieve line-rate processing. Furthermore, our event processing engine supports Boolean expression matching with an expressive predicate language that models complex financial strategies to autonomously buy and sell stocks based on real-time financial data. © 2010 VLDB Endowment.",
"Application of evolutionary computation for rule discovery in stock algorithmic trading: A literature review","10.1016/j.asoc.2015.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939799429&doi=10.1016%2fj.asoc.2015.07.008&partnerID=40&md5=cd0a0efa9e447d1fd7f2d2119281b1c3","Despite the wide application of evolutionary computation (EC) techniques to rule discovery in stock algorithmic trading (AT), a comprehensive literature review on this topic is unavailable. Therefore, this paper aims to provide the first systematic literature review on the state-of-the-art application of EC techniques for rule discovery in stock AT. Out of 650 articles published before 2013 (inclusive), 51 relevant articles from 24 journals were confirmed. These papers were reviewed and grouped into three analytical method categories (fundamental analysis, technical analysis, and blending analysis) and three EC technique categories (evolutionary algorithm, swarm intelligence, and hybrid EC techniques). A significant bias toward the applications of genetic algorithm-based (GA) and genetic programming-based (GP) techniques in technical trading rule discovery is observed. Other EC techniques and fundamental analysis lack sufficient study. Furthermore, we summarize the information on the evaluation scheme of selected papers and particularly analyze the researches which compare their models with buy and hold strategy (B&H). We observe an interesting phenomenon where most of the existing techniques perform effectively in the downtrend and poorly in the uptrend, and considering the distribution of research in the classification framework, we suggest that this phenomenon can be attributed to the inclination of factor selections and problem in transaction cost selections. We also observe the significant influence of the transaction cost change on the margins of excess return. Other influenced factors are also presented in detail. The absence of ways for market trend prediction and the selection of transaction cost are two major limitations of the studies reviewed. In addition, the combination of trading rule discovery techniques and portfolio selection is a major research gap. Our review reveals the research focus and gaps in applying EC techniques for rule discovery in stock AT and suggests a roadmap for future research. © 2015 Elsevier B.V. All rights reserved.","Algorithmic trading; Classification framework; Evolutionary computation; Literature review; Rule discovery; Stock trading rule"
"Optimal high-frequency trading with limit and market orders","10.1080/14697688.2012.708779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871320328&doi=10.1080%2f14697688.2012.708779&partnerID=40&md5=8564e91f4b78bd5cdc770a50ecb0cf0a","We propose a framework for studying optimal market-making policies in a limit order book (LOB). The bid-ask spread of the LOB is modeled by a tick-valued continuous-time Markov chain. We consider a small agent who continuously submits limit buy/sell orders at best bid/ask quotes, and may also set limit orders at best bid (resp. ask) plus (resp. minus) a tick for obtaining execution order priority, which is a crucial issue in high-frequency trading. The agent faces an execution risk since her limit orders are executed only when they meet counterpart market orders. She is also subject to inventory risk due to price volatility when holding the risky asset. The agent can then also choose to trade with market orders, and therefore obtain immediate execution, but at a less favorable price. The objective of the market maker is to maximize her expected utility from revenue over a short-term horizon by a trade-off between limit and market orders, while controlling her inventory position. This is formulated as a mixed regime switching regular/impulse control problem that we characterize in terms of a quasi-variational system by dynamic programming methods. Calibration procedures are derived for estimating the transition matrix and intensity parameters for the spread and for Cox processes modelling the execution of limit orders. We provide an explicit backward splitting scheme for solving the problem and show how it can be reduced to a system of simple equations involving only the inventory and spread variables. Several computational tests are performed both on simulated and real data, and illustrate the impact and profit when considering execution priority in limit orders and market orders. © 2013 Copyright Taylor and Francis Group, LLC.","Applied mathematical finance; Market microstructure; Portfolio optimization; Quantitative finance techniques; Stochastic control; Trading strategies"
"Esc: Towards an elastic stream computing platform for the cloud","10.1109/CLOUD.2011.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053134516&doi=10.1109%2fCLOUD.2011.27&partnerID=40&md5=e7c3d5d8b696466e1e8862f932dcc022","Today, most tools for processing big data are batch-oriented. However, many scenarios require continuous, online processing of data streams and events. We present ESC, a new stream computing engine. It is designed for computations with real-time demands, such as online data mining. It offers a simple programming model in which programs are specified by directed acyclic graphs (DAGs). The DAG defines the data flow of a program, vertices represent operations applied to the data. The data which are streaming through the graph are expressed as key/value pairs. ESC allows programmers to focus on the problem at hand and deals with distribution and fault tolerance. Furthermore, it is able to adapt to changing computational demands. In the cloud, ESC can dynamically attach and release machines to adjust the computational capacities to the current needs. This is crucial for stream computing since the amount of data fed into the system is not under the platform's control. We substantiate the concepts we propose in this paper with an evaluation based on a high-frequency trading scenario. © 2011 IEEE.","Adaptability; Event processing; Stream computing"
"A 105Gb/s 300GHz CMOS transmitter","10.1109/ISSCC.2017.7870384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016288438&doi=10.1109%2fISSCC.2017.7870384&partnerID=40&md5=4357687a9dd5ce67a4bd2c437e794de4","'High speed' in communications often means 'high data-rate' and fiber-optic technologies have long been ahead of wireless technologies in that regard. However, an often overlooked definite advantage of wireless links over fiber-optic links is that waves travel at the speed of light c, which is about 50% faster than in optical fibers as shown in Fig. 17.9.1 (top left). This 'minimum latency' is crucial for applications requiring real-time responses over a long distance, including high-frequency trading [1]. Further opportunities and new applications might be created if the absolute minimum latency and fiber-optic data-rates are put together. (Sub-)THz frequencies have an extremely broad atmospheric transmission window with manageable losses as shown in Fig. 17.9.1 (top right) and will be ideal for building light-speed links supporting fiber-optic data-rates. This paper presents a 105Gb/s 300GHz transmitter (TX) fabricated using a 40nm CMOS process. © 2017 IEEE.",
"Automatic code generation for real-time convex optimization","10.1017/CBO9780511804458.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926113841&doi=10.1017%2fCBO9780511804458.002&partnerID=40&md5=80f2e625ee1e569e347c09e9323dca29","This chapter concerns the use of convex optimization in real-time embedded systems, in areas such as signal processing, automatic control, real-time estimation, real-time resource allocation and decision making, and fast automated trading. By “embedded” we mean that the optimization algorithm is part of a larger, fully automated system, that executes automatically with newly arriving data or changing conditions, and without any human intervention or action. By “real-time” we mean that the optimization algorithm executes much faster than a typical or generic method with a human in the loop, in times measured in milliseconds or microseconds for small and medium size problems, and (a few) seconds for larger problems. In real-time embedded convex optimization the same optimization problem is solved many times, with different data, often with a hard real-time deadline. In this chapter we propose an automatic code generation system for real-time embedded convex optimization. Such a system scans a description of the problem family, and performs much of the analysis and optimization of the algorithm, such as choosing variable orderings used with sparse factorizations and determining storage structures, at code generation time. Compiling the generated source code yields an extremely efficient custom solver for the problem family. We describe a preliminary implementation, built on the Python-based modeling framework CVXMOD, and give some timing results for several examples. Introduction Advisory optimization Mathematical optimization is traditionally thought of as an aid to human decision making. © Cambridge University Press 2010.",
"Automated trading with performance weighted random forests and seasonality","10.1016/j.eswa.2013.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891714796&doi=10.1016%2fj.eswa.2013.12.009&partnerID=40&md5=dd9526819a29c8d53a6155b79d44d273","Seasonality effects and empirical regularities in financial data have been well documented in the financial economics literature for over seven decades. This paper proposes an expert system that uses novel machine learning techniques to predict the price return over these seasonal events, and then uses these predictions to develop a profitable trading strategy. While simple approaches to trading these regularities can prove profitable, such trading leads to potential large drawdowns (peak-to-trough decline of an investment measured as a percentage between the peak and the trough) in profit. In this paper, we introduce an automated trading system based on performance weighted ensembles of random forests that improves the profitability and stability of trading seasonality events. An analysis of various regression techniques is performed as well as an exploration of the merits of various techniques for expert weighting. The performance of the models is analysed using a large sample of stocks from the DAX. The results show that recency-weighted ensembles of random forests produce superior results in terms of both profitability and prediction accuracy compared with other ensemble techniques. It is also found that using seasonality effects produces superior results than not having them modelled explicitly. © 2013 Elsevier Ltd. All rights reserved.","Algorithmic trading; Ensemble learning; Machine learning; Random forests; Stock price prediction"
"Latency arbitrage, market fragmentation, and efficiency: A two-market model",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879746165&partnerID=40&md5=16a1c72e06d58211a2ecee816864b704","We study the effect of latency arbitrage on allocative efficiency and liquidity in fragmented financial markets. We propose a simple model of latency arbitrage in which a single security is traded on two exchanges, with aggregate information available to regular traders only after some delay. An infinitely fast arbitrageur profits from market fragmentation by reaping the surplus when the two markets diverge due to this latency in cross-market communication. We develop a discrete-event simulation system to capture this processing and information transfer delay, and using an agent-based approach, we simulate the interactions between highfrequency and zero-intelligence trading agents at the millisecond level. We then evaluate allocative efficiency and market liquidity arising from the simulated order streams, and we find that market fragmentation and the presence of a latency arbitrageur reduces total surplus and negatively impacts liquidity. By replacing continuous-time markets with periodic call markets, we eliminate latency arbitrage opportunities and achieve further efficiency gains through the aggregation of orders over short time periods. Copyright © 2013 ACM.","Allocative efficiency; High-frequency trading; Regulation nms"
"The Economics of High-Frequency Trading: Taking Stock","10.1146/annurev-financial-121415-033010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995952458&doi=10.1146%2fannurev-financial-121415-033010&partnerID=40&md5=69c2664f52e1abb7b662694dbce53be9","I review the recent high-frequency trader (HFT) literature to single out the economic channels by which HFTs affect market quality. I first group the various theoretical studies according to common denominators and discuss the economic costs and benefits they identify. For each group, I then review the empirical literature that speaks to either the models' assumptions or their predictions. This enables me to come to a data-weighted judgement on the economic value of HFTs. Copyright ©2016 by Annual Reviews. All rights reserved.","Electronic markets; High-frequency trading; Microstructure"
"DBToaster: Higher-order delta processing for dynamic, frequently fresh views","10.14778/2336664.2336670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873107385&doi=10.14778%2f2336664.2336670&partnerID=40&md5=864851cb4c9977ef59be42c394fefee5","Applications ranging from algorithmic trading to scientific data analysis require realtime analytics based on views over databases that change at very high rates. Such views have to be kept fresh at low maintenance cost and latencies. At the same time, these views have to support classical SQL, rather than window semantics, to enable applications that combine current with aged or historical data. In this paper, we present viewlet transforms, a recursive finite differencing technique applied to queries. The viewlet transform materializes a query and a set of its higher-order deltas as views. These views support each other's incremental maintenance, leading to a reduced overall view maintenance cost. The viewlet transform of a query admits efficient evaluation, the elimination of certain expensive query operations, and aggressive parallelization. We develop viewlet transforms into a workable query execution technique, present a heuristic and cost-based optimization framework, and report on experiments with a prototype dynamic data management system that combines viewlet transforms with an optimizing compilation technique. The system supports tens of thousands of complete view refreshes a second for a wide range of queries. © 2012 VLDB Endowment.",
"Proactive elasticity and energy awareness in data stream processing","10.1016/j.jss.2016.08.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981719834&doi=10.1016%2fj.jss.2016.08.037&partnerID=40&md5=51c7555483c4d8ee489b66625eaf4b44","Data stream processing applications have a long running nature (24 hr/7 d) with workload conditions that may exhibit wide variations at run-time. Elasticity is the term coined to describe the capability of applications to change dynamically their resource usage in response to workload fluctuations. This paper focuses on strategies for elastic data stream processing targeting multicore systems. The key idea is to exploit Model Predictive Control, a control-theoretic method that takes into account the system behavior over a future time horizon in order to decide the best reconfiguration to execute. We design a set of energy-aware proactive strategies, optimized for throughput and latency QoS requirements, which regulate the number of used cores and the CPU frequency through the Dynamic Voltage and Frequency Scaling (DVFS) support offered by modern multicore CPUs. We evaluate our strategies in a high-frequency trading application fed by synthetic and real-world workload traces. We introduce specific properties to effectively compare different elastic approaches, and the results show that our strategies are able to achieve the best outcome. © 2016 Elsevier Inc.","Data stream processing; Elasticity; Frequency scaling; Model predictive control"
"High frequency trading acceleration using FPGAs","10.1109/FPL.2011.64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80455132109&doi=10.1109%2fFPL.2011.64&partnerID=40&md5=ae93429fc8e52c9fcf58a1741a620157","This paper presents the design of an application specific hardware for accelerating High Frequency Trading applications. It is optimized to achieve the lowest possible latency for interpreting market data feeds and hence enable minimal round-trip times for executing electronic stock trades. The implementation described in this work enables hardware decoding of Ethernet, IP and UDP as well as of the FAST protocol which is a common protocol to transmit market feeds. For this purpose, we developed a microcode engine with a corresponding instruction set as well as a compiler which enables the flexibility to support a wide range of applied trading protocols. The complete system has been implemented in RTL code and evaluated on an FPGA. Our approach shows a 4x latency reduction in comparison to the conventional Software based approach. © 2011 IEEE.","Ethernet; FAST; FIX; FPGA; High frequency trading; Low latency; UDP"
"Automated trading with boosting and expert weighting","10.1080/14697680903104113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951262368&doi=10.1080%2f14697680903104113&partnerID=40&md5=70c70f9ca702c9c5b7d79a7dc088c4a4","We propose a multi-stock automated trading system that relies on a layered structure consisting of a machine learning algorithm, an online learning utility, and a risk management overlay. Alternating decision tree (ADT), which is implemented with Logitboost, was chosen as the underlying algorithm. One of the strengths of our approach is that the algorithm is able to select the best combination of rules derived from well-known technical analysis indicators and is also able to select the best parameters of the technical indicators. Additionally, the online learning layer combines the output of several ADTs and suggests a short or long position. Finally, the risk management layer can validate the trading signal when it exceeds a specified non-zero threshold and limit the application of our trading strategy when it is not profitable. We test the expert weighting algorithm with data of 100 randomly selected companies of the S & P 500 index during the period 2003-2005. We find that this algorithm generates abnormal returns during the test period. Our experiments show that the boosting approach is able to improve the predictive capacity when indicators are combined and aggregated as a single predictor. Even more, the combination of indicators of different stocks demonstrated to be adequate in order to reduce the use of computational resources, and still maintain an adequate predictive capacity. © 2010 Taylor & Francis.","Algorithmic trading; Automated trading; Boosting; Machine learning"
"Scale-up strategies for processing high-rate data streams in system S","10.1109/ICDE.2009.116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649649579&doi=10.1109%2fICDE.2009.116&partnerID=40&md5=2629a7054e77437da21eaaac17a6a282","High performance stream processing is critical in sense-and-respond application domains - from environmental monitoring to algorithmic trading. In this paper, we focus on language and runtime support for improving the performance of sense-and-respond applications in processing data from highrate streams. The central tenet of this work is the definition of a streaming architectural pattern for these application domains and the programming model and the code generation framework to support it. Using IBM Research's System S middleware and the SPADE language, we demonstrate how to scale up a financial trading application. © 2009 IEEE.",
"Speed, algorithmic trading, and market quality around macroeconomic news announcements","10.1016/j.jbankfin.2013.09.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886860892&doi=10.1016%2fj.jbankfin.2013.09.016&partnerID=40&md5=f4f7cce601dd2aa3839134c95f4e5b9e","This paper documents that speed is crucially important for high-frequency trading strategies based on U.S. macroeconomic news releases. Using order-level data on the highly liquid S&P 500 ETF traded on NASDAQ from January 6, 2009 to December 12, 2011, we find that a delay of 300. ms or more significantly reduces returns of news-based trading strategies. This reduction is greater for high impact news and on days with high volatility. In addition, we assess the effect of algorithmic trading on market quality around macroeconomic news. In the minute following a macroeconomic news arrival, algorithmic activity increases trading volume and depth at the best quotes, but also increases volatility and leads to a drop in overall depth. Quoted half-spreads decrease (increase) when we measure algorithmic trading over the full (top of the) order book. © 2013 Elsevier B.V.","Event-based trading; High-frequency trading; Latency costs; Macroeconomic news; Market activity"
"Functional data analysis for volatility","10.1016/j.jeconom.2011.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054688506&doi=10.1016%2fj.jeconom.2011.08.002&partnerID=40&md5=8edd61dbbeda7d8e0147aebe5313064b","We introduce a functional volatility process for modeling volatility trajectories for high frequency observations in financial markets and describe functional representations and data-based recovery of the process from repeated observations. A study of its asymptotic properties, as the frequency of observed trades increases, is complemented by simulations and an application to the analysis of intra-day volatility patterns of the S&P 500 index. The proposed volatility model is found to be useful to identify recurring patterns of volatility and for successful prediction of future volatility, through the application of functional regression and prediction techniques. © 2011 Elsevier B.V. All rights reserved.","Diffusion model; Functional principal component; Functional regression; High frequency trading; Market returns; Prediction; Trajectories of volatility; Volatility process"
