Authors,Author(s) ID,Title,Year,Volume,Issue,Page start,Page end,Cited by,Author Keywords,Language of Original Document,Abstract
"Zuluaga-Posada M., Hoyos E., Montoya Y.",57215592229;57193505158;36806626600;,Performance evaluation of a novel force measuring device for friction stir welding (FSW) of aluminum alloys [Evaluación de desempeño de un dispositivo de medición de fuerza axial para el proceso FSW en aleaciones de aluminio],2019,86,210,150.0,155.0,0.0,Aluminum alloys; Force; Friction stir welding; Measuring instruments; Process parameters,English,"Friction Stir Welding (FSW) has the advantage of generating sound welds on materials that generally present low weldability by traditional fusion welding processes, such as 2xxx and 7xxx aluminum alloys. Force measurement in FSW provides significant information about the process, the machine requirements, the effect of selected parameters, and weld soundness. In this paper, an axial force measuring device was designed, built, and tested to be used in a CNC adapted system. All tests were performed using AA 7075-T6 and a butt joint configuration. The forces obtained by the device match, in profile, key values, and trends, the ones found in literature which allows to conclude that this is a functional and sufficient device for the application. © The author; licensee Universidad Nacional de Colombia."
"Rosero-Chicaíza C., Hoyos B.A.",57215580825;20435895200;,Reaction kinetic parameters for a distributed model of transport and reaction in Pd/Rh/CeZrO three-way catalytic converters [Parámetros cinéticos de reacción para un modelo distribuido de trasporte y reacción en catalizadores de tres vías de Pd/Rh/CeZrO],2019,86,210,216.0,223.0,0.0,Diffusion; Kinetic parameters; Mathematical model; Three-way catalyst,English,"This paper presents a two-dimensional distributed model for the transport and reaction of combustion gases in channels of three-way catalytic converters, considering a detailed reaction kinetics with 16 chemical reactions in palladium and rhodium catalysts, and taking into account diffusive effects within the coating, to obtain a new set of reaction kinetic parameters that do not depend on the thickness of the coating. The model was solved using a finite volume method with a first order upwind scheme and simulations were conducted using computational fluid dynamics. The model proposed with the new distributed reaction kinetic parameters, produced an excellent agreement with the experimental data of concentration at the end of the channels. Also, the model reproduced the most important concentration changes for the gas components in the specified temperature range and allowed simulations with excess oxygen and different thicknesses. © The author; licensee Universidad Nacional de Colombia."
"Pinchao-Pinchao Y.A., Ordoñez-Santos L.E., Osorio-Mora O.",57211158512;23493529900;57188585954;,Evaluation of the effect of different factors on the ultrasound assisted extraction of phenolic compounds of the pea pod [Evaluación del efecto de diferentes factores sobre la extracción asistida por ultrasonido de compuestos fenólicos de la vaina de arveja],2019,86,210,211.0,215.0,0.0,Agroindustrial potential; By-product; Extraction process; Factorial design; High added value; Natural sources,English,"The pea pod is a by-product that has several bioactive compounds. The effect of temperature, time, solid-liquid ratio and ethanol concentration on the ultrasonic assisted extraction of phenolic compounds were studied. A 2K factorial design was used and through ANOVA analysis the effect of each process variable was determined. Total phenols were analyzed by the Folin Ciocalteu method. The results showed that the temperature did not affect significantly the extraction of total phenols, however extraction time, ethanol concentration and solid-liquid ratio affected the extraction yield. The maximum concentration of the total phenols for each of the factors was recorded at 20 minutes, a 50% ethanol concentration and a liquid solid ratio of 1:40. These results provide useful information to optimize the ultrasound-assisted extraction process of the phenolic compounds of the pea pod according to the factors studied. © The author; licensee Universidad Nacional de Colombia."
Palacio-León O.,56368548300;,Urban logístics: Origin of a strategy for creating shared value [Logística urbana: Origen de una estrategia de creación de valor compartido],2019,86,210,355.0,364.0,0.0,Contract coordination mechanism; Creation of shared value; Extended enterprise; Joint inventory; Strategy,Spanish,"The city is the natural epicenter of a nation's economy. In it coexist not only a large number of extended enterprise but also a large part of the population of a country. Hence, stakeholders in the extended company as a socio-economic system based on the environment, should ensure that it is sustainable and enduring over time. For this reason, this article presents the design of a Win-Win business strategy, supported by a coordination mechanism through collaborative and cooperative contracts, based on the joint inventory in conditions of volatility, uncertainty, complexity and ambiguity, for an urban environment of an extended enterprise of shared economy. As a result, the efficient loading unit as a mechanism for creating shared value balances the technical-economic efficiency, between the contrasting make to stock and make to order strategies. © The author; licensee Universidad Nacional de Colombia."
"Vergara-álvarez W., Arteaga-Márquez M., Hernández-Ramos E.J.",57215580690;56685665800;57190843285;,Sensory acceptance and shelf life of fresh cheese made with dry bromelain extract as a coagulating agent [Aceptación y vida útil sensorial de queso fresco elaborado con extracto seco de bromelina como agente coagulante],2019,86,210,270.0,275.0,0.0,Dry bromelain extract; Fresh cheese; Sensorial acceptance,English,"The objective of this research was to assess the sensory acceptance and shelf life of a fresh cheese employing dry bromelain extract as a coagulating agent. Dry bromelain extract was used in three concentrations (5%, 10% and 15% w / w) and the milk utilized was both raw and pasteurized, for a total of six treatments being studied according to a factorial model 3 * 2. A sensorial analysis was conducted and the shelf life (sensorial, physicochemical and microbiological) of the treatment, with the greatest acceptance, was determined. The results showed that the cheeses obtained with the greatest sensorial acceptance were those made with 5% w / w of dry bromelain extract regardless of the type of milk used (raw or pasteurized). The shelf life of the selected product (T2), at the physicochemical level is 26 days; however, sensorially and microbiologically the quality of the product is good up to day 14. Therefore, the use of dry bromelain extract as a vegetable coagulant showed a great potential as a substitute for traditional rennet. © The author; licensee Universidad Nacional de Colombia."
"Marín-Arango Z.T., Cortes-Rodríguez M., Montoya-Campuzano O.I., Arango-Tobón J.C.",57188585732;57208002488;14065337800;57193484996;,Viability of Lactobacillus casei ATCC 393 and properties in andean blackberry suspensions with probiotic and prebiotic characteristics [Viabilidad de Lactobacillus casei ATCC 393 y propiedades en suspensiones de mora de castilla con características probióticas y prebióticas],2019,86,210,179.0,186.0,0.0,Colloids; Functional food; Inulin; Rubus glaucus Benth,English,"The food industry has grown in recent years due to the supply of functional foods with probiotics and prebiotics. The viability of Lactobacillus casei and the properties of blackberry suspensions added with inulin were evaluated using a central design composed of the following factors: mass fraction of total solid blackberry concentrate (XTSBC) (0.103-0.120), [McFarland] (6-10), inulin (2.78-3.68%), and mass blackberry concentrate (BC)/mass inoculum (R) (5-20); and the dependent variables: moisture (M), pH, acidity, °Brix, total solids suspension (TSS), viscosity (μ), zeta potential (ζ), and Log CFU/g. Results of the experimental optimization of multiple responses were: XTSBC (0.103), [McFarland] (10), inulin (3.12%w/w), and R (18.5); being the dependent variables: M=86.7±0.0%, pH=2.74±0.01, acidity=3.1±0.0%, °Brix=11.0±0.1%, TSS=13.3±0.0%, µ=1288.0±20.1 cP, ζ=-13.3±0.3 mV and Log CFU/g=7.8±0.5. Probiotic microorganism Lb. casei ATCC 393 presents adaptability in suspensions based on BC and inulin, which guarantee its viability and possible use for obtaining an innovative spray-dried product. © The author; licensee Universidad Nacional de Colombia."
"Gutiérrez-Rubiano D.F., Hincapié-Montes J.A., León-Villalba A.F.",57215587375;57215593295;57215583472;,Collaborative distribution: Strategies to generate efficiencies in urban distribution-results of two pilot tests in the city of Bogotá [Distribución colaborativa: Estrategias para generar eficiencias en la distribución urbana-resultados de dos pilotos en la ciudad de Bogotá],2019,86,210,42.0,51.0,0.0,Collaborative distribution; Horizontal collaboration; Logistics pooling; Pilot test; Urban freight distribution; Vertical collaboration,English,"The urban freight distribution (UFD) processes represent externalities and inefficiencies to the community and the private actors involved. The enterprise collaborative approach has been implemented during the last decades as a solution to the referred problems. The aim of this study is to present the results of two pilot tests for collaborative logistics strategies carried out in Bogotá, Colombia. The tests were conducted to assess the collaborative logistics strategies’ efficacy in the reduction of congestion and contamination as well as their impact on companies’ efficiency. The initiatives evaluated were: (a) freight consolidation and (b) unload scheduling at retailers. In both cases, benefits were evidenced for the companies (-26% on average freight and + 83% on vehicles occupancy) as well as the community (-23.5% parked trucks on roads and-7% emissions). Nonetheless, the results do not possess statistical sufficiency. Further research could complement the factors and methodologies that facilitate organizational collaboration. © The author; licensee Universidad Nacional de Colombia."
"Silva J.L.A., Duarte S.N., da Silva D.D., Miranda N.O.",57211142148;56065831300;14819053000;12807826400;,Reclamation of salinized soils due to excess of fertilizers: Evaluation of leaching systems and equations [Recuperación de suelos salinizados por exceso de fertilizantes: Evaluación de sistemas de lixiviación y ecuaciones],2019,86,210,115.0,124.0,0.0,Fertirrigation; Irrigation management; Leaching; Salinization,English,"In regions with intense irrigation, the use of fertirrigation increases crop productivity, but excessive fertilizer application increases the risk of soil salinization. Therefore, this work used leaching equations to evaluate systems of remediation of soils salinized by excess fertilizers. The phases of the study were: salinization of soils in lysimeters, remediation of these soils, and measurement of salt concentrations in soils for comparison with estimates of empirical equations. The treatments combined soil remediation systems (continuous and intermittent) with five initial levels of soil salinity (2.0, 4.0, 6.0, 8.0, and 10.0 dS m-1). The experimental design was randomized blocks with six replicates. The Volobuyev equation best represented the salinized soil remediation in relation to the results obtained experimentally. The equations tested showed better performance in the intermittent remediation system compared to the continuous system. © The author; licensee Universidad Nacional de Colombia."
"Romero-Riaño E., Guarín-Manrique L., Dueñas-Gómez M., Becerra-Ardila L.",57205706551;57215586097;57215577529;55249947000;,Reference framework for capabilities development in agricultural innovation system [Marco de trabajo para el desarrollo de capacidades en sistemas de innovación agrícola],2019,86,210,23.0,34.0,0.0,Agricultural innovation systems; Capability development; Collaborative networks; Network analysis,English,"Agricultural Innovation Systems (AIS) approach, arise as tool for better understanding dynamics and complexity of agricultural innovation. The objective of this article is present a framework for AIS capability development, taking as a scientific reference, emerging economy countries experiences. A multi-dimensional methodology of literature review and content analysis is implemented, supported in bibliometric and data mining techniques. The development of capacities in the context of agricultural innovation systems is mediated by the existence of links between actors, which enable social learning processes through networking. AIS, as an approach for the improvement of innovation capacities, emerge in developed countries, with consolidated institutional capacities and constitute an opportunity for the strengthening of the agricultural sector in countries with emerging economies. The analysis of networks, the non-linear perspective of the innovation process and the initiation of research, training, policy and intermediation are the main common themes between AIS and capability building. © The author; licensee Universidad Nacional de Colombia."
"Salcedo-Mendoza J., Flórez-Pardo L.M., Lopéz-Galán J.",57191861369;26030950000;57190336377;,Significant enzymatic activities in the residues hydrolysis of the sugar cane harvest• [Actividades enzimáticas significativas en la hidrólisis de residuos de la cosecha de caña de azúcar],2019,86,210,35.0,41.0,0.0,Cellulases; Enzymatic hydrolysis; Hemicellulose; Leaves; Sugar cane; Top cane,English,"In the production of ethanol from agroindustrial crop residues, one of the critical stages in the process is the conversion of lignocellulosic material to simple sugars, which can be done chemically or enzymatically. In this research, the enzymatic activities of commercial enzymes were evaluated for their influence on the degradation of lignocellulosic materials from sugar cane harvest residues (leaves and top cane). Eight substrates were pretreated with different delignification methods. Likewise, five enzymatic preparations were configured. An analysis of the enzyme-substrate interactions was conducted through fuzzy system analysis. The results showed regions of maximum enzymatic activity for residues of the sugarcane harvest, between 20-30 Filter Paper Units (FPU) /mL values lower than 500 pNPG (p-Nitrofenol-α-D-Glucopyranoside) U / mL of activity beta-glucosidase and hemicellulase activity between 50 and 70 IU / mL, confirming that the use of large amounts of cellulolytic enzymes is not necessary. © The author; licensee Universidad Nacional de Colombia."
"Pulgarín D.A., Santamaría-álzate F., Ruge J.C., Orduz O.I.",57215578744;57189799606;55631706100;57215583935;,"Determination the coefficients of San’s model, to calculate the percentage of removal flocculent particles with three coagulants types [Determinación de los coeficientes del modelo de San, para calcular el porcentaje de remoción de partículas floculentas con tres tipos de coagulantes]",2019,86,210,131.0,136.0,0.0,Coagulation; Flocculation; Isoconcentration curves; Sedimentation,English,"This study calculated coefficients for the model elaborated by Hasan Ali San in 1989 based on the percentage of flocculated particles removed by three coagulants commonly used for water purification. The coagulants used were type A aluminum sulfate, type B aluminum sulfate and ferric chloride. An experiment was designed to study water with initial turbidity between 25 and 30 Nephelometric Turbidity Units (NTU). The experiment consisted of filling a sedimentation column with water and colloid particles which were agitated rapidly and then slowly with compressed air. This allowed the percentage of particles removed from the remaining turbidity to be determined at different times and different depths by measuring sedimentation of the flocculated particles. Once percentages of material removed had been calculated, an isoconcentration graph was elaborated and multiple linear regression was used to determine the coefficients of the model proposed by San. © The author; licensee Universidad Nacional de Colombia."
"Meza-Fuentes E., Rodriguez-Ruiz J., Rangel M.D.C.",45461193200;55582770000;57215576002;,Characteristics of NiO present in solids obtained from hydrotalcites based on Ni/Al and Ni-Zn/Al [Características del NiO presente en solidos obtenidos de hidrotalcitas del tipo Ni/Al y Ni-Zn/Al],2019,86,210,58.0,65.0,0.0,Hidrotalcite; Lattice parameters; NiO; Spectroscopy Raman,English,"NiO has a variety of applications, mainly in the production of electrochemical sensors and of metallic nickel. In addition, it is widely used as catalysts to produce hydrogen from natural gas. In this work, hydrotalcites based on nickel-aluminum and nickel-zinc-aluminum were synthesized, calcined at 500 °C and studied by different techniques. It was observed that nickel-aluminum hydrotalcites are thermally more stable, collapsing at higher temperatures than hydrotalcites containing zinc. During calcination, aluminum is incorporated into NiO lattice, leading to a decrease in crystallographic parameters. However, zinc decreases this effect, favoring the formation of NiO with lattice parameters close to pure nickel oxide. Zinc also contributes to the formation of smaller NiO particles, which is very useful for its use as a catalyst. In addition, aluminum led to a distortion in NiO lattice, an effect that is minimized by zinc, showing that it hinders the incorporation of Al3+ in the NiO lattice. © The author; licensee Universidad Nacional de Colombia."
"Dos Santos L.M., Ferraz G.A.E.S., Barbosa B.D.S., Andrade A.D.",57215592856;55322659100;56814632200;57189248281;,Use of remotely piloted aircraft in precision agriculture: A review [Utilización de sistemas de aeronaves no tripuladas en agricultura de precisión: Una revisión],2019,86,210,284.0,291.0,0.0,Drone; Photogrammetry; Unmanned aircraft system (UAS),English,"The objective of this review was to examine the current use of remotely piloted aircraft (RPA) in obtaining data to assist in the application of precision farming techniques and to exemplify successful situations of technology use. The RPA has applications for monitoring, mapping, vegetation index (VI) extraction, volume, plant height, among others, and has been studied in several agricultural crops, being support for decision making on agrochemical application, planting failure, accompaniment of growth favoring the increase of crop productivity. One of the potentialities evaluated through RPA is the use of VI, which may be extracted from digital images obtained by cameras that contain only the visible band. It may be an alternative for farmers who do not have access to RPA coupled with high-tech embedded sensors. Therefore, it is a tool that may contribute to the decision making, allowing the acquisition of high spatial and temporal resolution images. © The author; licensee Universidad Nacional de Colombia."
"Pérez-Ortega G., Moreno-Freites Z.",26650183000;57204239359;,Model of relationship of transformational leadership and university management [Modelo de relación de liderazgo transformacional y gerencia universitaria],2019,86,210,9.0,16.0,0.0,Leadership; Linear regression model of transformational leadership and university management; Transformational leadership; University management,English,"We propose to find the model of relationship between Transformational Leadership and University Management. The Inventory of Leadership Practices form was used (LPI) as well as a University Management (UG) scale, which consists of four dimensions: Research, Teaching, Extension and Support. These dimensions were applied to managers of 31 universities in Colombia. To identify the global relationship model between university management and the dimensions associated with transformational leadership a multiple regression model was developed. Furthermore, in order to eliminate subjectivities, we applied the transformation test of ordinal scales in a new Ridit-type scale until reaching the results. Among the main findings, there is a model of direct and positive relationship between Transformational Leadership and University Management. We also found that the Enabling to Act dimension in Transformational Leadership is the one having the greatest impact in university management. This work is the product of the doctoral thesis called ""Theoretical Construct for University Management from the perspective of Transformational Leadership"". presented for the UNY in Barquisimeto Bolivarian Republic of Venezuela. © The author; licensee Universidad Nacional de Colombia."
"Flórez-Pardo L.M., González-Córdoba A., López-Galán J.E.",26030950000;57202187615;57190336377;,"Characterization of hemicelluloses from leaves and tops of the CC 8475, CC 8592, and V 7151 varieties of sugarcane (Saccharum officinarum l.) [Caracterización de hemicelulosas de hojas y cogollos de las variedades CC 8475, CC 8592, V 7151 de caña de azúcar (Saccharum officinarum l.)]",2019,86,210,98.0,107.0,0.0,Bioethanol; Hemicelluloses; Leaves; Sugarcane; Tops,English,"In this research, the types of hemicellulose that predominate in the leaves and tops of the three most cultivated varieties (CC 8475, CC 8592, V 7151) of sugarcane (Saccharum officinarum L.) in Valle del Cauca, Colombia were determined. Hemicellulose analyses were performed after delignification with sodium chlorite and extraction with 18% NaOH and 24% KOH containing 0.26 M NaBH4. The main components of hemicellulose were identified via FTIR and NMR spectroscopy, and monomeric sugars were identified via HPLC. Hemicellulose A composed of arabinoxylans, glucomannans and arabinogalactactans and hemicellulose B primarily composed of arabinoxylans were extracted. The hemicelluloses of the Colombian varieties were more stable against heat than those of the Venezuelan variety. The results of this project allowed discovery of the potential use of agricultural sugarcane residues for bioethanol production because they have a holocellulose content of more than 60%. © The author; licensee Universidad Nacional de Colombia."
"García-Navarrete O.L., Cubero-García S., Prats-Montalbán J.M.",55173870100;24587015400;8303631100;,Identification of mechanical damage in the 'fuji' apple cv. Using artificial hyperspectral vision [Identificación de daños mecánicos en la manzana cv. ´fuji´ mediante visión artificial hiperespectral],2019,86,210,224.0,232.0,0.0,Hyperspectral images; NIR; PLS-DA; Spectroscopy,English,"One problem in the post-harvest phase of apples is the mechanical impact damage. Its identification prevents quality issues during storage. The objective was to identify the wavelengths at which damage is detected early in apples of the 'Fuji' cultivar. Damage was simulated with a controlled stroke and taking hyperspectral images from 400 to 1700 nm. Three experiments were carried out at different temperatures (4 and 20 ° C) and with varying sampling times. It was found that the NIR zone ranging between 1050 and 1100 nm allows to classify healthy and bruised zones by means of a discriminant analysis by partial least squares (PLS-DA). Additionally, the evolution of the damage over time was not significant for the classification of the pixels (healthy and bruised classes), since bumps were detected in all three experiments from the first time. © The author; licensee Universidad Nacional de Colombia."
"Constaín-Aragón A.J., Peña-Otero G.A., Peña-Guzmán C.",56199190100;57215573806;56340513300;,Determination of the factors of variation of mean velocity in natural channels at steady state [Determinación de los factores de variación de la velocidad media en cauces naturales en estado estable],2019,86,210,240.0,246.0,0.0,Flow velocity; Steady state; Stream dynamics; Uniform flow,English,"From the Chezy-Manning equation, considered valid for the ""steady state"" of a natural channel, as an extension of the condition of ""uniform flow,"" it is interesting to determine the degree of variation of the average flow velocity, depending on the variations of the factors involved. That is why this article presents a theoretical analysis which yields a first approximation of the sensitivity of the variation of the magnitude of the average speed to changes in the geometry or geomorphology of a section of the channel. It is found that the concept of ""stable state"" for the thermodynamic state of a natural channel can be assimilated to that of ""dynamic equilibrium,"" in which the values of the state parameters vary slowly, in a ""regional"" sense. © The author; licensee Universidad Nacional de Colombia."
